Date Key,Calender Date Start,Calender Date End,Weekday Number,Day,Day Abbreviated,Day Of Month,Is Weekend,Is Weekday,Month Of Year,Month,Month Abbreviated,Year
1880,23/02/1998 00:00,23/02/1998 23:59,1,Monday,Mon,23,0,1,2,February,Feb,1998
1881,24/02/1998 00:00,24/02/1998 23:59,2,Tuesday,Tue,24,0,1,2,February,Feb,1998
1882,25/02/1998 00:00,25/02/1998 23:59,3,Wednesday,Wed,25,0,1,2,February,Feb,1998
1883,26/02/1998 00:00,26/02/1998 23:59,4,Thursday,Thu,26,0,1,2,February,Feb,1998
1884,27/02/1998 00:00,27/02/1998 23:59,5,Friday,Fri,27,0,1,2,February,Feb,1998
1885,28/02/1998 00:00,28/02/1998 23:59,6,Saturday,Sat,28,1,0,2,February,Feb,1998
1886,01/03/1998 00:00,01/03/1998 23:59,0,Sunday,Sun,1,1,0,3,March,Mar,1998
1887,02/03/1998 00:00,02/03/1998 23:59,1,Monday,Mon,2,0,1,3,March,Mar,1998
1888,03/03/1998 00:00,03/03/1998 23:59,2,Tuesday,Tue,3,0,1,3,March,Mar,1998
1889,04/03/1998 00:00,04/03/1998 23:59,3,Wednesday,Wed,4,0,1,3,March,Mar,1998
1890,05/03/1998 00:00,05/03/1998 23:59,4,Thursday,Thu,5,0,1,3,March,Mar,1998
1891,06/03/1998 00:00,06/03/1998 23:59,5,Friday,Fri,6,0,1,3,March,Mar,1998
1892,07/03/1998 00:00,07/03/1998 23:59,6,Saturday,Sat,7,1,0,3,March,Mar,1998
1893,08/03/1998 00:00,08/03/1998 23:59,0,Sunday,Sun,8,1,0,3,March,Mar,1998
1894,09/03/1998 00:00,09/03/1998 23:59,1,Monday,Mon,9,0,1,3,March,Mar,1998
1895,10/03/1998 00:00,10/03/1998 23:59,2,Tuesday,Tue,10,0,1,3,March,Mar,1998
1896,11/03/1998 00:00,11/03/1998 23:59,3,Wednesday,Wed,11,0,1,3,March,Mar,1998
1897,12/03/1998 00:00,12/03/1998 23:59,4,Thursday,Thu,12,0,1,3,March,Mar,1998
1898,13/03/1998 00:00,13/03/1998 23:59,5,Friday,Fri,13,0,1,3,March,Mar,1998
1899,14/03/1998 00:00,14/03/1998 23:59,6,Saturday,Sat,14,1,0,3,March,Mar,1998
1900,15/03/1998 00:00,15/03/1998 23:59,0,Sunday,Sun,15,1,0,3,March,Mar,1998
1901,16/03/1998 00:00,16/03/1998 23:59,1,Monday,Mon,16,0,1,3,March,Mar,1998
1902,17/03/1998 00:00,17/03/1998 23:59,2,Tuesday,Tue,17,0,1,3,March,Mar,1998
1903,18/03/1998 00:00,18/03/1998 23:59,3,Wednesday,Wed,18,0,1,3,March,Mar,1998
1904,19/03/1998 00:00,19/03/1998 23:59,4,Thursday,Thu,19,0,1,3,March,Mar,1998
1905,20/03/1998 00:00,20/03/1998 23:59,5,Friday,Fri,20,0,1,3,March,Mar,1998
1906,21/03/1998 00:00,21/03/1998 23:59,6,Saturday,Sat,21,1,0,3,March,Mar,1998
1907,22/03/1998 00:00,22/03/1998 23:59,0,Sunday,Sun,22,1,0,3,March,Mar,1998
1908,23/03/1998 00:00,23/03/1998 23:59,1,Monday,Mon,23,0,1,3,March,Mar,1998
1909,24/03/1998 00:00,24/03/1998 23:59,2,Tuesday,Tue,24,0,1,3,March,Mar,1998
1910,25/03/1998 00:00,25/03/1998 23:59,3,Wednesday,Wed,25,0,1,3,March,Mar,1998
1911,26/03/1998 00:00,26/03/1998 23:59,4,Thursday,Thu,26,0,1,3,March,Mar,1998
1912,27/03/1998 00:00,27/03/1998 23:59,5,Friday,Fri,27,0,1,3,March,Mar,1998
1913,28/03/1998 00:00,28/03/1998 23:59,6,Saturday,Sat,28,1,0,3,March,Mar,1998
1914,29/03/1998 00:00,29/03/1998 23:59,0,Sunday,Sun,29,1,0,3,March,Mar,1998
1915,30/03/1998 00:00,30/03/1998 23:59,1,Monday,Mon,30,0,1,3,March,Mar,1998
1916,31/03/1998 00:00,31/03/1998 23:59,2,Tuesday,Tue,31,0,1,3,March,Mar,1998
1917,01/04/1998 00:00,01/04/1998 23:59,3,Wednesday,Wed,1,0,1,4,April,Apr,1998
1918,02/04/1998 00:00,02/04/1998 23:59,4,Thursday,Thu,2,0,1,4,April,Apr,1998
1919,03/04/1998 00:00,03/04/1998 23:59,5,Friday,Fri,3,0,1,4,April,Apr,1998
1920,04/04/1998 00:00,04/04/1998 23:59,6,Saturday,Sat,4,1,0,4,April,Apr,1998
1921,05/04/1998 00:00,05/04/1998 23:59,0,Sunday,Sun,5,1,0,4,April,Apr,1998
1922,06/04/1998 00:00,06/04/1998 23:59,1,Monday,Mon,6,0,1,4,April,Apr,1998
1923,07/04/1998 00:00,07/04/1998 23:59,2,Tuesday,Tue,7,0,1,4,April,Apr,1998
1924,08/04/1998 00:00,08/04/1998 23:59,3,Wednesday,Wed,8,0,1,4,April,Apr,1998
1925,09/04/1998 00:00,09/04/1998 23:59,4,Thursday,Thu,9,0,1,4,April,Apr,1998
1926,10/04/1998 00:00,10/04/1998 23:59,5,Friday,Fri,10,0,1,4,April,Apr,1998
1927,11/04/1998 00:00,11/04/1998 23:59,6,Saturday,Sat,11,1,0,4,April,Apr,1998
1928,12/04/1998 00:00,12/04/1998 23:59,0,Sunday,Sun,12,1,0,4,April,Apr,1998
1929,13/04/1998 00:00,13/04/1998 23:59,1,Monday,Mon,13,0,1,4,April,Apr,1998
1930,14/04/1998 00:00,14/04/1998 23:59,2,Tuesday,Tue,14,0,1,4,April,Apr,1998
1931,15/04/1998 00:00,15/04/1998 23:59,3,Wednesday,Wed,15,0,1,4,April,Apr,1998
1932,16/04/1998 00:00,16/04/1998 23:59,4,Thursday,Thu,16,0,1,4,April,Apr,1998
1933,17/04/1998 00:00,17/04/1998 23:59,5,Friday,Fri,17,0,1,4,April,Apr,1998
1934,18/04/1998 00:00,18/04/1998 23:59,6,Saturday,Sat,18,1,0,4,April,Apr,1998
1935,19/04/1998 00:00,19/04/1998 23:59,0,Sunday,Sun,19,1,0,4,April,Apr,1998
1936,20/04/1998 00:00,20/04/1998 23:59,1,Monday,Mon,20,0,1,4,April,Apr,1998
1937,21/04/1998 00:00,21/04/1998 23:59,2,Tuesday,Tue,21,0,1,4,April,Apr,1998
1938,22/04/1998 00:00,22/04/1998 23:59,3,Wednesday,Wed,22,0,1,4,April,Apr,1998
1939,23/04/1998 00:00,23/04/1998 23:59,4,Thursday,Thu,23,0,1,4,April,Apr,1998
1940,24/04/1998 00:00,24/04/1998 23:59,5,Friday,Fri,24,0,1,4,April,Apr,1998
1941,25/04/1998 00:00,25/04/1998 23:59,6,Saturday,Sat,25,1,0,4,April,Apr,1998
1942,26/04/1998 00:00,26/04/1998 23:59,0,Sunday,Sun,26,1,0,4,April,Apr,1998
1943,27/04/1998 00:00,27/04/1998 23:59,1,Monday,Mon,27,0,1,4,April,Apr,1998
1944,28/04/1998 00:00,28/04/1998 23:59,2,Tuesday,Tue,28,0,1,4,April,Apr,1998
1945,29/04/1998 00:00,29/04/1998 23:59,3,Wednesday,Wed,29,0,1,4,April,Apr,1998
1946,30/04/1998 00:00,30/04/1998 23:59,4,Thursday,Thu,30,0,1,4,April,Apr,1998
1947,01/05/1998 00:00,01/05/1998 23:59,5,Friday,Fri,1,0,1,5,May,May,1998
1948,02/05/1998 00:00,02/05/1998 23:59,6,Saturday,Sat,2,1,0,5,May,May,1998
1949,03/05/1998 00:00,03/05/1998 23:59,0,Sunday,Sun,3,1,0,5,May,May,1998
1950,04/05/1998 00:00,04/05/1998 23:59,1,Monday,Mon,4,0,1,5,May,May,1998
1951,05/05/1998 00:00,05/05/1998 23:59,2,Tuesday,Tue,5,0,1,5,May,May,1998
1952,06/05/1998 00:00,06/05/1998 23:59,3,Wednesday,Wed,6,0,1,5,May,May,1998
1953,07/05/1998 00:00,07/05/1998 23:59,4,Thursday,Thu,7,0,1,5,May,May,1998
1954,08/05/1998 00:00,08/05/1998 23:59,5,Friday,Fri,8,0,1,5,May,May,1998
1955,09/05/1998 00:00,09/05/1998 23:59,6,Saturday,Sat,9,1,0,5,May,May,1998
1956,10/05/1998 00:00,10/05/1998 23:59,0,Sunday,Sun,10,1,0,5,May,May,1998
1957,11/05/1998 00:00,11/05/1998 23:59,1,Monday,Mon,11,0,1,5,May,May,1998
1958,12/05/1998 00:00,12/05/1998 23:59,2,Tuesday,Tue,12,0,1,5,May,May,1998
1959,13/05/1998 00:00,13/05/1998 23:59,3,Wednesday,Wed,13,0,1,5,May,May,1998
1960,14/05/1998 00:00,14/05/1998 23:59,4,Thursday,Thu,14,0,1,5,May,May,1998
1961,15/05/1998 00:00,15/05/1998 23:59,5,Friday,Fri,15,0,1,5,May,May,1998
1962,16/05/1998 00:00,16/05/1998 23:59,6,Saturday,Sat,16,1,0,5,May,May,1998
1963,17/05/1998 00:00,17/05/1998 23:59,0,Sunday,Sun,17,1,0,5,May,May,1998
1964,18/05/1998 00:00,18/05/1998 23:59,1,Monday,Mon,18,0,1,5,May,May,1998
1965,19/05/1998 00:00,19/05/1998 23:59,2,Tuesday,Tue,19,0,1,5,May,May,1998
1966,20/05/1998 00:00,20/05/1998 23:59,3,Wednesday,Wed,20,0,1,5,May,May,1998
1967,21/05/1998 00:00,21/05/1998 23:59,4,Thursday,Thu,21,0,1,5,May,May,1998
1968,22/05/1998 00:00,22/05/1998 23:59,5,Friday,Fri,22,0,1,5,May,May,1998
1969,23/05/1998 00:00,23/05/1998 23:59,6,Saturday,Sat,23,1,0,5,May,May,1998
1970,24/05/1998 00:00,24/05/1998 23:59,0,Sunday,Sun,24,1,0,5,May,May,1998
1971,25/05/1998 00:00,25/05/1998 23:59,1,Monday,Mon,25,0,1,5,May,May,1998
1972,26/05/1998 00:00,26/05/1998 23:59,2,Tuesday,Tue,26,0,1,5,May,May,1998
1973,27/05/1998 00:00,27/05/1998 23:59,3,Wednesday,Wed,27,0,1,5,May,May,1998
1974,28/05/1998 00:00,28/05/1998 23:59,4,Thursday,Thu,28,0,1,5,May,May,1998
1975,29/05/1998 00:00,29/05/1998 23:59,5,Friday,Fri,29,0,1,5,May,May,1998
1976,30/05/1998 00:00,30/05/1998 23:59,6,Saturday,Sat,30,1,0,5,May,May,1998
1977,31/05/1998 00:00,31/05/1998 23:59,0,Sunday,Sun,31,1,0,5,May,May,1998
1978,01/06/1998 00:00,01/06/1998 23:59,1,Monday,Mon,1,0,1,6,June,Jun,1998
1979,02/06/1998 00:00,02/06/1998 23:59,2,Tuesday,Tue,2,0,1,6,June,Jun,1998
1980,03/06/1998 00:00,03/06/1998 23:59,3,Wednesday,Wed,3,0,1,6,June,Jun,1998
1981,04/06/1998 00:00,04/06/1998 23:59,4,Thursday,Thu,4,0,1,6,June,Jun,1998
1982,05/06/1998 00:00,05/06/1998 23:59,5,Friday,Fri,5,0,1,6,June,Jun,1998
1983,06/06/1998 00:00,06/06/1998 23:59,6,Saturday,Sat,6,1,0,6,June,Jun,1998
1984,07/06/1998 00:00,07/06/1998 23:59,0,Sunday,Sun,7,1,0,6,June,Jun,1998
1985,08/06/1998 00:00,08/06/1998 23:59,1,Monday,Mon,8,0,1,6,June,Jun,1998
1986,09/06/1998 00:00,09/06/1998 23:59,2,Tuesday,Tue,9,0,1,6,June,Jun,1998
1987,10/06/1998 00:00,10/06/1998 23:59,3,Wednesday,Wed,10,0,1,6,June,Jun,1998
1988,11/06/1998 00:00,11/06/1998 23:59,4,Thursday,Thu,11,0,1,6,June,Jun,1998
1989,12/06/1998 00:00,12/06/1998 23:59,5,Friday,Fri,12,0,1,6,June,Jun,1998
1990,13/06/1998 00:00,13/06/1998 23:59,6,Saturday,Sat,13,1,0,6,June,Jun,1998
1991,14/06/1998 00:00,14/06/1998 23:59,0,Sunday,Sun,14,1,0,6,June,Jun,1998
1992,15/06/1998 00:00,15/06/1998 23:59,1,Monday,Mon,15,0,1,6,June,Jun,1998
1993,16/06/1998 00:00,16/06/1998 23:59,2,Tuesday,Tue,16,0,1,6,June,Jun,1998
1994,17/06/1998 00:00,17/06/1998 23:59,3,Wednesday,Wed,17,0,1,6,June,Jun,1998
1995,18/06/1998 00:00,18/06/1998 23:59,4,Thursday,Thu,18,0,1,6,June,Jun,1998
1996,19/06/1998 00:00,19/06/1998 23:59,5,Friday,Fri,19,0,1,6,June,Jun,1998
1997,20/06/1998 00:00,20/06/1998 23:59,6,Saturday,Sat,20,1,0,6,June,Jun,1998
1998,21/06/1998 00:00,21/06/1998 23:59,0,Sunday,Sun,21,1,0,6,June,Jun,1998
1999,22/06/1998 00:00,22/06/1998 23:59,1,Monday,Mon,22,0,1,6,June,Jun,1998
2000,23/06/1998 00:00,23/06/1998 23:59,2,Tuesday,Tue,23,0,1,6,June,Jun,1998
2001,24/06/1998 00:00,24/06/1998 23:59,3,Wednesday,Wed,24,0,1,6,June,Jun,1998
2002,25/06/1998 00:00,25/06/1998 23:59,4,Thursday,Thu,25,0,1,6,June,Jun,1998
2003,26/06/1998 00:00,26/06/1998 23:59,5,Friday,Fri,26,0,1,6,June,Jun,1998
2004,27/06/1998 00:00,27/06/1998 23:59,6,Saturday,Sat,27,1,0,6,June,Jun,1998
2005,28/06/1998 00:00,28/06/1998 23:59,0,Sunday,Sun,28,1,0,6,June,Jun,1998
2006,29/06/1998 00:00,29/06/1998 23:59,1,Monday,Mon,29,0,1,6,June,Jun,1998
2007,30/06/1998 00:00,30/06/1998 23:59,2,Tuesday,Tue,30,0,1,6,June,Jun,1998
2008,01/07/1998 00:00,01/07/1998 23:59,3,Wednesday,Wed,1,0,1,7,July,Jul,1998
2009,02/07/1998 00:00,02/07/1998 23:59,4,Thursday,Thu,2,0,1,7,July,Jul,1998
2010,03/07/1998 00:00,03/07/1998 23:59,5,Friday,Fri,3,0,1,7,July,Jul,1998
2011,04/07/1998 00:00,04/07/1998 23:59,6,Saturday,Sat,4,1,0,7,July,Jul,1998
2012,05/07/1998 00:00,05/07/1998 23:59,0,Sunday,Sun,5,1,0,7,July,Jul,1998
2013,06/07/1998 00:00,06/07/1998 23:59,1,Monday,Mon,6,0,1,7,July,Jul,1998
2014,07/07/1998 00:00,07/07/1998 23:59,2,Tuesday,Tue,7,0,1,7,July,Jul,1998
2015,08/07/1998 00:00,08/07/1998 23:59,3,Wednesday,Wed,8,0,1,7,July,Jul,1998
2016,09/07/1998 00:00,09/07/1998 23:59,4,Thursday,Thu,9,0,1,7,July,Jul,1998
2017,10/07/1998 00:00,10/07/1998 23:59,5,Friday,Fri,10,0,1,7,July,Jul,1998
2018,11/07/1998 00:00,11/07/1998 23:59,6,Saturday,Sat,11,1,0,7,July,Jul,1998
2019,12/07/1998 00:00,12/07/1998 23:59,0,Sunday,Sun,12,1,0,7,July,Jul,1998
2020,13/07/1998 00:00,13/07/1998 23:59,1,Monday,Mon,13,0,1,7,July,Jul,1998
2021,14/07/1998 00:00,14/07/1998 23:59,2,Tuesday,Tue,14,0,1,7,July,Jul,1998
2022,15/07/1998 00:00,15/07/1998 23:59,3,Wednesday,Wed,15,0,1,7,July,Jul,1998
2023,16/07/1998 00:00,16/07/1998 23:59,4,Thursday,Thu,16,0,1,7,July,Jul,1998
2024,17/07/1998 00:00,17/07/1998 23:59,5,Friday,Fri,17,0,1,7,July,Jul,1998
2025,18/07/1998 00:00,18/07/1998 23:59,6,Saturday,Sat,18,1,0,7,July,Jul,1998
2026,19/07/1998 00:00,19/07/1998 23:59,0,Sunday,Sun,19,1,0,7,July,Jul,1998
2027,20/07/1998 00:00,20/07/1998 23:59,1,Monday,Mon,20,0,1,7,July,Jul,1998
2028,21/07/1998 00:00,21/07/1998 23:59,2,Tuesday,Tue,21,0,1,7,July,Jul,1998
2029,22/07/1998 00:00,22/07/1998 23:59,3,Wednesday,Wed,22,0,1,7,July,Jul,1998
2030,23/07/1998 00:00,23/07/1998 23:59,4,Thursday,Thu,23,0,1,7,July,Jul,1998
2031,24/07/1998 00:00,24/07/1998 23:59,5,Friday,Fri,24,0,1,7,July,Jul,1998
2032,25/07/1998 00:00,25/07/1998 23:59,6,Saturday,Sat,25,1,0,7,July,Jul,1998
2033,26/07/1998 00:00,26/07/1998 23:59,0,Sunday,Sun,26,1,0,7,July,Jul,1998
2034,27/07/1998 00:00,27/07/1998 23:59,1,Monday,Mon,27,0,1,7,July,Jul,1998
2035,28/07/1998 00:00,28/07/1998 23:59,2,Tuesday,Tue,28,0,1,7,July,Jul,1998
2036,29/07/1998 00:00,29/07/1998 23:59,3,Wednesday,Wed,29,0,1,7,July,Jul,1998
2037,30/07/1998 00:00,30/07/1998 23:59,4,Thursday,Thu,30,0,1,7,July,Jul,1998
2038,31/07/1998 00:00,31/07/1998 23:59,5,Friday,Fri,31,0,1,7,July,Jul,1998
2039,01/08/1998 00:00,01/08/1998 23:59,6,Saturday,Sat,1,1,0,8,August,Aug,1998
2040,02/08/1998 00:00,02/08/1998 23:59,0,Sunday,Sun,2,1,0,8,August,Aug,1998
2041,03/08/1998 00:00,03/08/1998 23:59,1,Monday,Mon,3,0,1,8,August,Aug,1998
2042,04/08/1998 00:00,04/08/1998 23:59,2,Tuesday,Tue,4,0,1,8,August,Aug,1998
2043,05/08/1998 00:00,05/08/1998 23:59,3,Wednesday,Wed,5,0,1,8,August,Aug,1998
2044,06/08/1998 00:00,06/08/1998 23:59,4,Thursday,Thu,6,0,1,8,August,Aug,1998
2045,07/08/1998 00:00,07/08/1998 23:59,5,Friday,Fri,7,0,1,8,August,Aug,1998
2046,08/08/1998 00:00,08/08/1998 23:59,6,Saturday,Sat,8,1,0,8,August,Aug,1998
2047,09/08/1998 00:00,09/08/1998 23:59,0,Sunday,Sun,9,1,0,8,August,Aug,1998
2048,10/08/1998 00:00,10/08/1998 23:59,1,Monday,Mon,10,0,1,8,August,Aug,1998
2049,11/08/1998 00:00,11/08/1998 23:59,2,Tuesday,Tue,11,0,1,8,August,Aug,1998
2050,12/08/1998 00:00,12/08/1998 23:59,3,Wednesday,Wed,12,0,1,8,August,Aug,1998
2051,13/08/1998 00:00,13/08/1998 23:59,4,Thursday,Thu,13,0,1,8,August,Aug,1998
2052,14/08/1998 00:00,14/08/1998 23:59,5,Friday,Fri,14,0,1,8,August,Aug,1998
2053,15/08/1998 00:00,15/08/1998 23:59,6,Saturday,Sat,15,1,0,8,August,Aug,1998
2054,16/08/1998 00:00,16/08/1998 23:59,0,Sunday,Sun,16,1,0,8,August,Aug,1998
2055,17/08/1998 00:00,17/08/1998 23:59,1,Monday,Mon,17,0,1,8,August,Aug,1998
2056,18/08/1998 00:00,18/08/1998 23:59,2,Tuesday,Tue,18,0,1,8,August,Aug,1998
2057,19/08/1998 00:00,19/08/1998 23:59,3,Wednesday,Wed,19,0,1,8,August,Aug,1998
2058,20/08/1998 00:00,20/08/1998 23:59,4,Thursday,Thu,20,0,1,8,August,Aug,1998
2059,21/08/1998 00:00,21/08/1998 23:59,5,Friday,Fri,21,0,1,8,August,Aug,1998
2060,22/08/1998 00:00,22/08/1998 23:59,6,Saturday,Sat,22,1,0,8,August,Aug,1998
2061,23/08/1998 00:00,23/08/1998 23:59,0,Sunday,Sun,23,1,0,8,August,Aug,1998
2062,24/08/1998 00:00,24/08/1998 23:59,1,Monday,Mon,24,0,1,8,August,Aug,1998
2063,25/08/1998 00:00,25/08/1998 23:59,2,Tuesday,Tue,25,0,1,8,August,Aug,1998
2064,26/08/1998 00:00,26/08/1998 23:59,3,Wednesday,Wed,26,0,1,8,August,Aug,1998
2065,27/08/1998 00:00,27/08/1998 23:59,4,Thursday,Thu,27,0,1,8,August,Aug,1998
2066,28/08/1998 00:00,28/08/1998 23:59,5,Friday,Fri,28,0,1,8,August,Aug,1998
2067,29/08/1998 00:00,29/08/1998 23:59,6,Saturday,Sat,29,1,0,8,August,Aug,1998
2068,30/08/1998 00:00,30/08/1998 23:59,0,Sunday,Sun,30,1,0,8,August,Aug,1998
2069,31/08/1998 00:00,31/08/1998 23:59,1,Monday,Mon,31,0,1,8,August,Aug,1998
2070,01/09/1998 00:00,01/09/1998 23:59,2,Tuesday,Tue,1,0,1,9,September,Sep,1998
2071,02/09/1998 00:00,02/09/1998 23:59,3,Wednesday,Wed,2,0,1,9,September,Sep,1998
2072,03/09/1998 00:00,03/09/1998 23:59,4,Thursday,Thu,3,0,1,9,September,Sep,1998
2073,04/09/1998 00:00,04/09/1998 23:59,5,Friday,Fri,4,0,1,9,September,Sep,1998
2074,05/09/1998 00:00,05/09/1998 23:59,6,Saturday,Sat,5,1,0,9,September,Sep,1998
2075,06/09/1998 00:00,06/09/1998 23:59,0,Sunday,Sun,6,1,0,9,September,Sep,1998
2076,07/09/1998 00:00,07/09/1998 23:59,1,Monday,Mon,7,0,1,9,September,Sep,1998
2077,08/09/1998 00:00,08/09/1998 23:59,2,Tuesday,Tue,8,0,1,9,September,Sep,1998
2078,09/09/1998 00:00,09/09/1998 23:59,3,Wednesday,Wed,9,0,1,9,September,Sep,1998
2079,10/09/1998 00:00,10/09/1998 23:59,4,Thursday,Thu,10,0,1,9,September,Sep,1998
2080,11/09/1998 00:00,11/09/1998 23:59,5,Friday,Fri,11,0,1,9,September,Sep,1998
2081,12/09/1998 00:00,12/09/1998 23:59,6,Saturday,Sat,12,1,0,9,September,Sep,1998
2082,13/09/1998 00:00,13/09/1998 23:59,0,Sunday,Sun,13,1,0,9,September,Sep,1998
2083,14/09/1998 00:00,14/09/1998 23:59,1,Monday,Mon,14,0,1,9,September,Sep,1998
2084,15/09/1998 00:00,15/09/1998 23:59,2,Tuesday,Tue,15,0,1,9,September,Sep,1998
2085,16/09/1998 00:00,16/09/1998 23:59,3,Wednesday,Wed,16,0,1,9,September,Sep,1998
2086,17/09/1998 00:00,17/09/1998 23:59,4,Thursday,Thu,17,0,1,9,September,Sep,1998
2087,18/09/1998 00:00,18/09/1998 23:59,5,Friday,Fri,18,0,1,9,September,Sep,1998
2088,19/09/1998 00:00,19/09/1998 23:59,6,Saturday,Sat,19,1,0,9,September,Sep,1998
2089,20/09/1998 00:00,20/09/1998 23:59,0,Sunday,Sun,20,1,0,9,September,Sep,1998
2090,21/09/1998 00:00,21/09/1998 23:59,1,Monday,Mon,21,0,1,9,September,Sep,1998
2091,22/09/1998 00:00,22/09/1998 23:59,2,Tuesday,Tue,22,0,1,9,September,Sep,1998
2092,23/09/1998 00:00,23/09/1998 23:59,3,Wednesday,Wed,23,0,1,9,September,Sep,1998
2093,24/09/1998 00:00,24/09/1998 23:59,4,Thursday,Thu,24,0,1,9,September,Sep,1998
2094,25/09/1998 00:00,25/09/1998 23:59,5,Friday,Fri,25,0,1,9,September,Sep,1998
2095,26/09/1998 00:00,26/09/1998 23:59,6,Saturday,Sat,26,1,0,9,September,Sep,1998
2096,27/09/1998 00:00,27/09/1998 23:59,0,Sunday,Sun,27,1,0,9,September,Sep,1998
2097,28/09/1998 00:00,28/09/1998 23:59,1,Monday,Mon,28,0,1,9,September,Sep,1998
2098,29/09/1998 00:00,29/09/1998 23:59,2,Tuesday,Tue,29,0,1,9,September,Sep,1998
2099,30/09/1998 00:00,30/09/1998 23:59,3,Wednesday,Wed,30,0,1,9,September,Sep,1998
2100,01/10/1998 00:00,01/10/1998 23:59,4,Thursday,Thu,1,0,1,10,October,Oct,1998
2101,02/10/1998 00:00,02/10/1998 23:59,5,Friday,Fri,2,0,1,10,October,Oct,1998
2102,03/10/1998 00:00,03/10/1998 23:59,6,Saturday,Sat,3,1,0,10,October,Oct,1998
2103,04/10/1998 00:00,04/10/1998 23:59,0,Sunday,Sun,4,1,0,10,October,Oct,1998
2104,05/10/1998 00:00,05/10/1998 23:59,1,Monday,Mon,5,0,1,10,October,Oct,1998
2105,06/10/1998 00:00,06/10/1998 23:59,2,Tuesday,Tue,6,0,1,10,October,Oct,1998
2106,07/10/1998 00:00,07/10/1998 23:59,3,Wednesday,Wed,7,0,1,10,October,Oct,1998
2107,08/10/1998 00:00,08/10/1998 23:59,4,Thursday,Thu,8,0,1,10,October,Oct,1998
2108,09/10/1998 00:00,09/10/1998 23:59,5,Friday,Fri,9,0,1,10,October,Oct,1998
2109,10/10/1998 00:00,10/10/1998 23:59,6,Saturday,Sat,10,1,0,10,October,Oct,1998
2110,11/10/1998 00:00,11/10/1998 23:59,0,Sunday,Sun,11,1,0,10,October,Oct,1998
2111,12/10/1998 00:00,12/10/1998 23:59,1,Monday,Mon,12,0,1,10,October,Oct,1998
2112,13/10/1998 00:00,13/10/1998 23:59,2,Tuesday,Tue,13,0,1,10,October,Oct,1998
2113,14/10/1998 00:00,14/10/1998 23:59,3,Wednesday,Wed,14,0,1,10,October,Oct,1998
2114,15/10/1998 00:00,15/10/1998 23:59,4,Thursday,Thu,15,0,1,10,October,Oct,1998
2115,16/10/1998 00:00,16/10/1998 23:59,5,Friday,Fri,16,0,1,10,October,Oct,1998
2116,17/10/1998 00:00,17/10/1998 23:59,6,Saturday,Sat,17,1,0,10,October,Oct,1998
2117,18/10/1998 00:00,18/10/1998 23:59,0,Sunday,Sun,18,1,0,10,October,Oct,1998
2118,19/10/1998 00:00,19/10/1998 23:59,1,Monday,Mon,19,0,1,10,October,Oct,1998
2119,20/10/1998 00:00,20/10/1998 23:59,2,Tuesday,Tue,20,0,1,10,October,Oct,1998
2120,21/10/1998 00:00,21/10/1998 23:59,3,Wednesday,Wed,21,0,1,10,October,Oct,1998
2121,22/10/1998 00:00,22/10/1998 23:59,4,Thursday,Thu,22,0,1,10,October,Oct,1998
2122,23/10/1998 00:00,23/10/1998 23:59,5,Friday,Fri,23,0,1,10,October,Oct,1998
2123,24/10/1998 00:00,24/10/1998 23:59,6,Saturday,Sat,24,1,0,10,October,Oct,1998
2124,25/10/1998 00:00,25/10/1998 23:59,0,Sunday,Sun,25,1,0,10,October,Oct,1998
2125,26/10/1998 00:00,26/10/1998 23:59,1,Monday,Mon,26,0,1,10,October,Oct,1998
2126,27/10/1998 00:00,27/10/1998 23:59,2,Tuesday,Tue,27,0,1,10,October,Oct,1998
2127,28/10/1998 00:00,28/10/1998 23:59,3,Wednesday,Wed,28,0,1,10,October,Oct,1998
2128,29/10/1998 00:00,29/10/1998 23:59,4,Thursday,Thu,29,0,1,10,October,Oct,1998
2129,30/10/1998 00:00,30/10/1998 23:59,5,Friday,Fri,30,0,1,10,October,Oct,1998
2130,31/10/1998 00:00,31/10/1998 23:59,6,Saturday,Sat,31,1,0,10,October,Oct,1998
2131,01/11/1998 00:00,01/11/1998 23:59,0,Sunday,Sun,1,1,0,11,November,Nov,1998
2132,02/11/1998 00:00,02/11/1998 23:59,1,Monday,Mon,2,0,1,11,November,Nov,1998
2133,03/11/1998 00:00,03/11/1998 23:59,2,Tuesday,Tue,3,0,1,11,November,Nov,1998
2134,04/11/1998 00:00,04/11/1998 23:59,3,Wednesday,Wed,4,0,1,11,November,Nov,1998
2135,05/11/1998 00:00,05/11/1998 23:59,4,Thursday,Thu,5,0,1,11,November,Nov,1998
2136,06/11/1998 00:00,06/11/1998 23:59,5,Friday,Fri,6,0,1,11,November,Nov,1998
2137,07/11/1998 00:00,07/11/1998 23:59,6,Saturday,Sat,7,1,0,11,November,Nov,1998
2138,08/11/1998 00:00,08/11/1998 23:59,0,Sunday,Sun,8,1,0,11,November,Nov,1998
2139,09/11/1998 00:00,09/11/1998 23:59,1,Monday,Mon,9,0,1,11,November,Nov,1998
2140,10/11/1998 00:00,10/11/1998 23:59,2,Tuesday,Tue,10,0,1,11,November,Nov,1998
2141,11/11/1998 00:00,11/11/1998 23:59,3,Wednesday,Wed,11,0,1,11,November,Nov,1998
2142,12/11/1998 00:00,12/11/1998 23:59,4,Thursday,Thu,12,0,1,11,November,Nov,1998
